Species, Division, Survey, Survey name, Gear, Quarter, Start year, Notes
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 4.b, 2341, NS-IBTS, GOV, "1, 3", "1967, 1991",
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 4.c, 2341, NS-IBTS, GOV, "1, 3", "1978, 1991",
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 6.a, 2701, SWC-IBTS, GOV, "1, 4", "1985, 1990",
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 6.a, 3520, IE-IGFS, GOV, 4, 2003,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 6.b, 3473, ROCKALL, GOV, 3, 1999, "Data from the years 2000,2004, and 2010 missing"
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.a, 4784, NIGFS, ROR, 4, 2009,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.a, 3520, IE-IGFS, GOV, 4, 2003, "sparse sampling in later years (2005-)"
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.b, 3520, IE-IGFS, GOV, 4, 2003,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.b, 2701, SWC-IBTS, GOV, 4, 1990, "Data from the years 2010,2011, and 2013 missing"
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.c, 3322, SP-PORC, PORB, 3, 2001,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.c, 3520, IE-IGFS, GOV, 4, 2003, Data from 2011 missing
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.d, 2341, NS-IBTS, GOV, 1, 2007,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.e, , , , , ,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.f, 3488, BTS-VIIa, BT4A, 3, 1993, Beam trawl survey - not optimal
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.g, 3520, IE-IGFS, GOV, 4, 2003,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.g, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.h, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.j, 3520, IE-IGFS, GOV, 4, 2003,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.j, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 7.k, 3322, SP-PORC, PORB, 3, 2001,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 8.a, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 8.b, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 8.c, 3321, SP-NORTH, BAK, 4, 2001,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 8.d, 3024, EVHOE, GOV, 4, 1997,
"Anchovy, Black-bellied anglerfish, White anglerfish, Blue Whiting, Cod, Haddock, Hake, Herring, Horse Mackerel, Mackerel, Norway Pout, Pollack, Saithe, Spurdog, Sprat, Whiting", 9.a, 3319, PT-IBTS, NCT, 4, 2002, "Data from the years 2003, 2004, and 2008 missing"
